ID Degustazione,ID Vino,Data Degustazione,Luogo Degustazione,Valutazione,Degustazione Visiva,Degustazione Olfattiva,Degustazione Gustativa,Degustazione Giudizio Generale,Prezzo,Foto Etichetta,Foto Retro Etichetta
15,15,06/05/2023,La Taverna di Virgilio (vicopisano),"4,5-5/5",luminoso giallo dorato e un perlage elegante e persistente.,"amplissimo, scorza di cedro, mango, fiori di acacia, pietra focaia, confetto alle mandorle, pan brioche ancora caldo.","Prorompente con la sua eleganza e intensità aromatica. Dona note di ananas, nocciola tostata e frutta secca. Sorso elegante e lunghissimo.","prima volta, sicuramente di una lunga serie. Grande vino, capisco xche considerato la migliore bolla italiana.",,,
16,16,08/10/2024,Identità Golose - Winetip,"4,5-5/5",giallo paglierino,"complesso, dalla frutta bianca al floreale, dal minerale alla frutta secca, leggero miele e pasticceria","fresco e sapido, buona struttura e acidità che spinge un ottima bevibilità, lungo","ottimo, per ogni occasione",,,
17,17,25/04/2024,Casa,"4,5-5/5",giallo paglierino dorato,"complessità olfattiva da grande bolla di chardonnay di Maison. Dalla frutta bianca, fresca e matura, all’agrume, dal floreale alla pasticceria con note di crema e burro sino al miele","fresco e sapido, bolla vivace ma elegante, di ottima struttura e persistenza, grande bevibilità","grande bottiglia, non paragonabile allo champagne ma una bellissima esperienza berla, da aperitivo alla tavola, da sola top",,,
18,18,09/08/2023,La Bella Vita -Trento,"3,5/5",giallo paglierino tendente al dorato,agrume e frutta bianca ma entra subito una bella pasticceria,ottima freschezza da agrume di grande equilibrio con la sapidità che controbilancia ottimamente. Al retronasale conferma l’agrume e la frutta bianca ed ha bella persistenza.,"bella struttura che da persistenza, buon corpo e profondità. Ottimo per aperitivo ma anche da tavola.",,,
19,18,09/04/2024,Portrait Milano,"3,5/5",,esile (forse il bicchiere? Forse il raffreddore?) sentore di frutta bianca e agrume,"fresco e sapido, nota agrumata, persistente e di struttura e bevibilità",buona bottiglia,,,
20,19,15/12/2022,ONAV Pisa,"1,5/5",,,,,,,
21,20,31/12/2023,Dindo - Carezza,"2,5/5",,,,,,,
22,21,19/08/2023,Franz Haas,3/5,,"bel frutto rosso e giallo, agrume, poi crosta di pane e frutta secca.","Molto fresco, sapido, dritto, di buona persistenza.","sboccato ad aprile, quindi troppo giovane, fragrante ma la beva non mi convince. Da riprovare tra 1 anno.",,,
23,22,25/02/2025, Locanda Sempione - Milano - Winetip,3/5,dorato con riflessi rossi (sarebbe un rosato di nerello mascarase),"agrume rosso, fruttato bianco e rosso","fresco e sapido, struttura media e buona persistenza, nota di mandorla amara","primo metodo classico dell’Etna, buono ma non mi entusiasma",,,
24,23,01/01/2023,Franzin - Carezza,3/5,giallo paglierino,"agrume e frutta bianca, leggera nota fune","fresco e sapido ma di non grande struttura, buone comunque le note gustative con un leggero squilibrio verso mandorla amara","buono, non lo comprerei ne sceglierei in carta vini ma se, come oggi, è proposto da ribere",,,
25,24,18/11/2023,Polo Intarget,"3,5-4/5","rosa cipolla, bolla fine","agrume di pompelmo e sanguinella e frutta rossa, polvere da sparo, erbaceo di odori mediterranei, frutta secca di mandorla e nocciola, pasticceria","fresco e sapido, bolla fine e raffinata, aroma di agrume pompelmo e di mandorle, ottima persistenza e bevibilità","prima volta di Buvoli e sensazioni più che positive, è stata una bella bevuta.",,,
26,25,13/12/2023,Polo Intarget,"3,5-4/5",giallo con riflessi dorati,"bellissima frutta da giallo a rosso, agrume, leggera spezia, pasticceria, miele e leggera crosta di pane","fresco e sapido, agrume bellissimo e lungo","bella bottiglia, per essere la bottiglia d’ingresso grande qualità",,,
27,26,13/12/2023,Polo Intarget,"3,5-4/5",giallo dorato,"fiori d’arancio, agrume e frutta di mela renetta, arancio candito di complessa profondità, pasticceria. Sul finale notte fumè","fresco e sapido, agrume di grande lunghezza",pur nella complessità della perpetuelle ha una freschezza e profondità veramente uniche. Gastronomico,,,
28,26,07/05/2024,Ciz,"3,5-4/5",giallo dorato ambrato,"complesso con note di frutta matura, agrume, fiori verso l’appassimento, pasticceria e miele","complesso, buona bevibilità",grande bottiglia da tavola importante e meditazione,,,
29,27,12/10/2024,Casa,"4,5-5/5",giallo dorato caldo e profondo,"meraviglia di profumi in sinfonia, di frutta rossa matura, candita, secca, spezie orientali di curry e zafferano, pasticceria di pasta di mandorle","freschezza e sapidità vigorosa ma in grande equilibrio ed eleganza. Profondo, grande materia e lungo, bevibilità ottimale",grande bottiglia,,,
30,28,13/12/2023,Polo Intarget,4/5,"rosa tra cipolla e rosa antico, bolla elegante","fiori d’arancio, agrume rosso, frutta di pesche nettarine e albicocche mature, quasi sciroppate, note di macchia mediterranea di rosmarino e timo, burro","fresco e sapido, agrume lungo e finale fumè","Rosè di grande struttura, bottiglia complessa e di buona bevibilità, fantastico vino gastronomico",,,
31,29,13/12/2023,Polo Intarget,"4,5-5/5",dorato,"particolarmente evoluto, complessità di terziari da frutta candidata al panettone al burro","complessità aromatica da grande evoluzione, fresco e sapido, grasso e burroso, agrume di grande persistenza","complesso e nobile, da meditazione. Ottimo con panettone. Un vino dal grande carattere e profondità",,,
32,29,07/09/2024,Casa,"4,5-5/5",giallo ambrato,"meraviglioso e complesso bouquet di profumi di frutta esotica e agrume matura e candita, mela cotta, frutta secca, fiori secchi, miele di castagno, note di pasticceria e burro, un tenue ma intrigante sottobosco","fresco e minerale, bolla intrigante, ottima la struttura e la persistenza, grande bevibilità pur essendo un vino con una bellissima complessità evolutiva anche nei gusti",grande bottiglia da tavola con formaggi e salumi stagionati ma godibilissima anche da sola,,,
33,30,05/05/2023,casa,"4,5-5/5","giallo dorato, perlate finissimo e persistente","meravigliosamente complesso ed equilibrato, dalla frutta bianca alla frutta candita, agrumi, frutta secca, spezie, pasticceria, dalla crema pasticciera allo zabaione.","Ampio, ricco, cremoso, profondo ed elegante, fresco con allungo salino","un grande vino, metodo classico di grandissima fattura, da avere sempre in cantina, da pasto ma anche (soprattutto?) da meditazione",,,
34,31,18/12/2024,Nicola Gatta,4/5,,,,,,,
35,32,18/12/2024,Nicola Gatta,4/5,,,,"Prima bevuta, da riassagiare dato il contesto non favorevole, pur essendo in cantina da Nicola, per le troppe bottiglie gia bevute, il freddo e le tante distrazioni, non ultima il fumo del barbeque",,,
36,32,22/03/2025,Il Boschetto (Modena) - Champagne Society,"4,5/5",dorato,"profondo, agrume e frutta","freschissimo e sapido, agrumato, struttura e lunghezza",grande e identitario,,,
37,33,27/01/2024,casa,"4,5-5/5",giallo dorato,"bella complessità olfattiva. Dall’agrume alla frutta bianca e rossa, al floreale, al minerale, ad una nota balsamica e crema. Nocciola tostata e miele di castagno.","fresco e sapido, ampio, corposo, possente e austero, cremoso, persistente con una acidità d’agrume che stimola la salivazione. Grande bevibilita",ottima bottiglia che può accompagnare aperitivo e tavola. Anche meditazione.,,,
38,34,23/11/2023, Polo,"3,5-4/5",giallo paglierino con riflessi dorati,bella complessità dal frutto bianco all’agrume alla pasticceria con nota di pietra focaia,"fresco e sapido, bella bolla ma non troppo lungo. Aromi di agrumi e frutta","ottima bevuta per complessità olfattiva e gustativa, bella bevibilità ma non troppo persistente",,,
39,35,06/04/2024,Casa,4/5,giallo dorato,"complesso, frutta gialla e rossa, agrumato, floreale, cannella, crema e leggero burro","fresco e sapido, buona struttura e persistenza, bolla intrigante, aromi di frutta matura stuzzicanti.","gastronomico, ottima vivibilità",,,
40,36,18/12/2024,Nicola Gatta,4/5,,"agrumato e fruttato, note di pasticceria","fresco, sapido e minerale, note agrumate e spiccata acidità che stimola la beva. Ottima struttura e persistenza.","molto buono, da bere come aperitivo ma anche da pasto",,,
41,37,04/04/2024,Casa,4/5,giallo dorato,"complesso, agrume e frutta bianca e gialla matura, pasticceria","fresco e sapido, aromi complessi, bella la bolla fine e raffinata, di ottima beva","piaciuto, coinvolgente e profondo, da aperitivo, pasto ma anche meditativo",,,
42,38,01/10/2023,casa,3/5,giallo dorato,"agrume, frutta bianca, pietra focaia, pasticceria, crosta di pane","fresco e sapido, bolla frizzante ma non eccessiva, agrume astringente, sufficientemente persistente","buona bevuta e bevibilità, solo troppo limone in bocca",,,
43,39,24/06/2023,Casa,3/5,giallo paglierino/dorato,"agrumi, frutta bianca e gialla, soprattutto albicocca, sentore balsamico, pasticceria, burro, miele, crosta di pane","fresco, sapido, sgrumato con nota di frutta secca (mandorla) ma cade al centro bocca, manca di struttura e di persistenza, da riaprire tra almeno 6/12 mesi","buono, tiene aperitivo ma se non acquisisce struttura nel secondo/terzo anno dalla sboccatura da non riacquistare. Non mi ha emozionato.",,,
44,40,23/03/2024,Champagne Society - Le Wine Bar - Reims,3/5,,fragolina,"fresco e sapido, dritto e tagliente, gusto amaricante",estivo e da mortadella e salame,,,
45,41,25/09/2024, Innocenti Evasioni - Winetip,"1,5/5",giallo paglierino scarico,,"fresco e sapido, non troppo strutturato e lungo, bolla tipo caramelle frizzi frizzi",,,,
46,42,06/07/2025,Altrimenti - WineTip,"2,5-3/5",,"Frutta bianca, fiori bianchi e delicati, evolvendo Crema, Crosta di pane, note minerali","Fresco, sapido, nota gustativa leggermente amaricante, note burrose, minerale","Delicato, Anche no ma se capita si può bere",,,
47,43,05/09/2023,Ristorante Alto Milano,"3,5/5",,"subito pietra focaia marcatore tipico Chardonnay, progressivamente frutta bianca e pasticceria","fresco e sapido, con perlage fragrante ma forse un po’ eccessivo. Struttura buona come la persistenza. Bella beva","prima bevuta di questo produttore e di questa etichetta che conoscevo x ottime recensioni di Oscar Mazzoleni e mi allineo alle sue recensioni ma considerandolo un buon metodo classico di ottima fattura, struttura e profondità, di ottima beva e che, in mancanza di altro, è da riprendere.",,,
48,44,08/05/2024,Stand Intarget Netcomm,4/5,rosa cerasuolo,fragilità e frutto rosso delicato e wild,"fresco, sapido, minerale, bolla vivace, divertente e di grande bevibilità","bottiglia da merenda, aperitivo, piscina, con amici in leggerezza",,,
49,44,11/05/2024,Casa Palla,4/5,"rosa cerasuolo, bolla vivace, non filtrato",fragili e e frutti rossi wild freschi,"fresco e sapido, aromi di frutta rossa, minerale, di grande bevibilità","divertente e adatto a aperitivi, merende, meglio se all’aria aperta, piscina",,,
50,45,15/12/2022,ONAV Pisa,1/5,,,,,,,
51,46,25/09/2024,Innocenti Evasioni - Winetip,1/5,giallo paglierino,frutta bianca,"fresco ma subito mandorla amara, piatto e privo di struttura",,,,
52,47,07/12/2023,Venturini Baldini,3/5,giallo paglierino con riflessi dorati,"fruttato (dalla bianca alla rossa) e sentori di agrume, poi leggerà pasticceria","fresco con sapidità presente ma non troppo, mi manca qualcosa","di buona fattura, da enologo ma non percepisco carattere. Non particolarmente persistente",,,
53,48,07/12/2023,Venturini Baldini,"2,5/5",rosa antico,,,"sicuramente non mi ha colpito, non ricordo e, se ci sarà possibilità lo riproverò. Anch’esso di fattura da enologo, ben fatto ma cosa mi racconta???",,,
54,49,07/12/2023,Venturini Baldini,"2,5/5",,,,"da ribere, non mi ha colpito ma mi manca esperienza su Lambrusco Sorbara. Metodo Martinotti ma secondo l’enologo confondibile con metodo classico. Sicuramente di buona fattura",,,
55,50,07/12/2023,Venturini Baldini,"3,5/5",rosso rubino,"frutta rossa, prugna e spezia",fresco e fragrante,"non ho paragoni ma l’ho trovato divertente e coinvolgente, soprattutto con il salame, l’erbazzone e il parmigiano",,,
56,51,12/03/2023,Arnaldo - Rubiera,3/5,,bello il frutto e l'ossidazione,,,,,
57,52,17/12/2024,Manlio Giustiniani,2/5,,,,,,,
58,53,12/03/2023,Arnaldo - Rubiera,3/5,,,,"Preciso, tostatura, conferma quanto provato in maison a Reims",,,
59,54,18/12/2022,Chamapagne Society Rubiera,1/5,,,,,,,
60,55,11/12/2024,Champagne Society,"3,5-4/5",giallo paglierino,"sprigiona aromi di albicocche e pesche, accentuati da note di agrumi, fiori d'arancio e brioche.","fresco e sapido Ricco e cremoso, la bocca seduce con la sua intensa espressione fruttata (frutta esotica, ciliegia) completata da sottili aromi di limone, vaniglia e miele, buona struttura e persistenza","prima volta, tanto prevenuto ma in fin dei conti un buon champagne",,,
61,56,19/10/2024,Exe Fiorano - Champagne Society,4/5,giallo paglierino,"bellissimo bouquet floreale, agrume leggero, frutta bianca, pasticceria delicata, grande complessità e bellissimo equilibrio","fresco e sapido agrumato, leggero amaricante di mandorla, ottima e profonda struttura e persistenza, bevibilità non fantastica","grande bottiglia, meditativa",,,
62,57,20/10/2024,Ooh Pausillo - Champagne Society,3/5,giallo paglierino,"bouquet di frutta da bianca a rossa, pasticceria","fresco e sapido, bolla troppo spinta, struttura buona e anche persistenza",buona ma non la comprerei,,,
63,58,01/05/2022,Ristorante Bistrot Mary,2/5,,,,,,,
64,59,15/03/2022,Champagne Society (Rubiera),4/5,,,,,,,
65,60,16/08/2023,Franzin Alm Carezza,"3,5/5",giallo paglierino,"agrume di pompelmo rosa, frutta bianca e gialla, poi mandorla e crosta di pane (il bicchiere non troppo performante)","fresco e sapido, minerale, sufficientemente lungo, buona retrolfattiva frittata","un buon Chardonnay, complesso, di buona struttura. Indubbiamente di ottima beva e da riprendere anche se non mi ha fatto saltare sulla sedia",,,
66,61,15/03/2022,Champagne Society (Rubiera),3/5,,,,,,,
67,62,07/05/2022,casa,3/5,,,,,,,
68,63,03/05/2022,Wine Tip,3/5,,,,,,,
69,63,27/05/2023,casa,3/5,dorato,"frutta rossa, agrume di pompelmo, leggera pietra focaia?, leggero mentolato?, crosta di pane,","fresco, sapido, agrume di pompelmo mandorla, leggero amaricante, persistente ma non lunghissimo, leggermente piatto in centro bocca","bella bottiglia, gastronomica, adatta a piatti ricchi di carne, salumi",,,
70,64,18/12/2022,Chamapagne Society Rubiera,1/5,,,,,,,
71,65,12/10/2022,bu:r Champagne Society,2/5,,,,,,,
72,66,08/03/2023,Top Missori,"4,5/5",,"Frutto bianco e agrume, nel vicchiere svela una bella evoluzione.","In bocca presenta una bellissime ed elegante bolla, con sentori e sapori che confermano il naso.","Grande bottiglia! Chardonnay alla massima potenza, il savoir faire di maiso",,,
73,67,03/05/2023,Via de Guinceri,"2,5-3/5",giallo paglierino,"frutta gialla, froreale, pietra focaia, che poi evolve in crosta di pane","fresco e dritto, complesso e coinvolgente, sapidità presente ma delicata, di buona bevibilità.","uno champagne interessante che voglio bere nuovamente, per capirlo meglio",,,
74,68,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,"3,5/5",giallo paglierino,"frutta bianca e agrume,","fresco e sapido, buona struttura, nota burrosa, persistente, buona bevibilità",buono e facile,,,
75,69,09/03/2023,Top Champagne (Bon Wei),3/5,dorato acceso,"leggero, pasticceria, frutta bianca candita, zenzero leggero","fresco con bolla esile ma elegante, con naso esaltato",esile ma elegante,,,
76,70,09/03/2023,Top Champagne (Bon Wei),"3,5/5",dorato acceso con bolla esile ma presente,"pasticceria, miele, frutta candita, ananas","fresco con bolla esile ma delicata ed elegante,","esile, ancora vivo, elegante e fresco",,,
77,71,09/03/2023,Top Champagne (Bon Wei),"4,5/5","giallo delicato, bolla ben presente","delicato, pasticceria e frutta rossa, burro, ananas, zenzero, dopo un po’ nel bicchiere sento stranamente l’agrume.","bolla bella presente, fresco da bella acidità, agrume, retronasale conferma il naso","buona bottiglia, ha tenuto bene il tempo",,,
78,72,09/03/2023,Top Champagne (Bon Wei),"2,5-3/5",dorato vivo,"agrume, burro, crosta di pane, frutta rossa, zenzero","fresca, con bolla ben presente","bottiglia in ossidazione/evoluzione, non eccessiva ma presente",,,
79,73,09/03/2023,Top Champagne (Bon Wei),NV,giallo paglierino,"non perfetta, tono di cartone bagnato",leggermente presente cartone bagnato,non valutabile,,,
80,74,09/03/2023,Top Champagne (Bon Wei),4/5,giallo paglierino con riflessi dorati,"pasticceria, esce poi l’agrume, burro, ananas, frutto rosso, albicocca, crosta di pane","fresco e mediamente lungo, con naso confermato",ottima bottiglia,,,
81,75,09/03/2023,Top Champagne (Bon Wei),"3,5-4/5","giallo paglierino, bolla persistente","pera cotta, burro, pasticceria, crosta di pane, miele","bella bolla persistente, fresco e scoppiettante, conferma il vino.",buona bottiglia,,,
82,76,15/03/2023,Ceresio 7 - Champagne Society,"3,5-4/5",,"tostatura, mentolato, speziato, ZenZero","fresco, profondo ed elegante",,,,
83,77,15/03/2023,Ceresio 7 - Champagne Society,3/5,,"frutto candito, pasticceria, tostatura,","evoluta, bolla presente ma non coinvolgente,",,,,
84,78,15/03/2023,Ceresio 7 - Champagne Society,"4,5-5/5",,"tostatura Dom, sottobosco, spezia, poi arriva la pasticceria","conferma il naso, fresca e persistente, mandorla,",,,,
85,79,15/03/2023,Ceresio 7 - Champagne Society,"4,5-5/5",,"poca tostatura Dom, pera, pasticceria, burro,","fresca, mandorla amara",,,,
86,79,25/01/2025,Casa,"4,5-5/5",dorato,"elegante, coinvolgente, delicato, dal frutta bianco all’agrume, fiori bianchi, mineralità, aromi di pasticceria delicati di vaniglia, creme, crouissant","fresco e sapido, bolla elegante, delicata frutta fresca e secca, note dolci di pasticceria ben equilibrata, unica nota una struttura buona ma non possente, quasi esile, l’età o forse l’annata?","felice di averla aperta per la godibilità, ancora in forma.",,,
87,80,15/03/2023,Ceresio 7 - Champagne Society,"3,5-4/5",,"subito tostatura Dom, agrume, pasticceria","fresca ed elegante, buona persistenza ma non eccezionale",,,,
88,81,15/03/2022,Champagne Society (Rubiera),"3,5-4/5",,,,"in batteria con tanti 2008, tra maison e vigneron, ne esce malconcio, un pò flebile, poco caratterizzato, ma forse anche una bottiglia non proprio fortunata? O magari anche suggestionato da giudizio degli altri? Mi riprometto di riberlo, meglio se in un contesto che possa meglio farlo esprimere.",,,
89,81,15/02/2023,casa,"3,5-4/5",,bellissimi profumi di agrume resi stuzzicanti e stimolanti da sentori di polvere pirica e che evolve molto bene nel bicchiere,si conferma ottimo anche al gusto nel quale si ritrovano i profumi sostenuti da una bella freschezza e mineralita che equilibra e bilancia,una bella esperienza,,,
90,81,15/03/2023,Ceresio 7 - Champagne Society,"3,5-4/5",,"subito Dom Perignon con la sua tostatura, mela, pera, burro e pasticceria,","fresca, persistente, ottima bolla, elegantemente equilibrato ma che ha tanta strada davanti, ancora un po’ chiusa. La permanenza nel calice da una bella evoluzione ma deve ancora uscire, ha potenzialità ma non si apre ancora",grande longevità ed evoluzione,,,
91,82,15/03/2023,Ceresio 7 - Champagne Society,"2,5-3/5",,"pasticceria, agrume","poco persistente, amara di mandorla,",,,,
92,83,15/03/2023,Ceresio 7 - Champagne Society,"3,5/5",,"esce subito la tostatura, frutta bianca e agrume, fragola, ananas","più Dom Perignon in bocca, nota amara ma equilibrato",,,,
93,84,24/11/2022,Spazio Meravigli - Moet Hennessy Italy,"3,5-4/5",,,,,,,
94,84,23/12/2022,casa,"3,5-4/5",,,,,,,
95,84,31/12/2022,Dindo Carezza,"3,5-4/5",,,,,,,
96,85,15/03/2023,Ceresio 7 - Champagne Society,"4,5/5",,"agrume, frutto bianco, tipico cerino/tostatura esce leggermente nell’evoluzione del bicchiere e poi sempre di più","dritto, fresco e persistente, bella bolla",,,,
97,85,10/11/2023,Chiostro del Bramante - Roma - Moet & Chandon,"4,5/5","giallo paglierino, bolla elegante e struttura","frutta bianca e agrume, pasticceria, ottima complessità","fresco e sapido, bella bolla",ottimo champagne,,,
98,85,23/01/2024,Bulgari Hotel Milano - Marco Zanzanaini,"4,5/5",giallo paglierino con riflessi dorati.,"Complessità olfattiva da grande champagne con sentori iniziali di mandorla fresca si aprono poi a note di frutta e limone candito e di frutta secca, il tutto completato da accenni affumicati, leggera pietra focaia, e tostati","Energico e potente ma anche delicato, pieno e avvolgente, vellutato e cremoso, finale intenso e speziato.","Una vera coccola, da bere da solo o in abbinamento a ciò che piace e che si ha voglia di gustare.",,,
99,86,05/02/2025,Trattoria da Berti - Milano,"4,5/5",paglierino acceso,"Inizialmente rivela note tostate e di cacao, si apre poi gradualmente su un bouquet floreale di tiglio, gelsomino e peonia, svelando una sublime dimensione speziata, anice e cardamomo. Successivamente emerge una freschezza vegetale e fruttata, con aromi di clorofilla, bucce d'arancia e papaya verde.","In bocca, lo champagne si dispiega prima delicatamente, poi generosamente. Al palato è ampio e orizzontale. Si diffonde sul palato, delicato poi generoso. Tattile. Accarezza e stimola allo stesso tempo, più sui lati della lingua che sulla punta. Polpa di pesca fresca e nettarina avvolgono note amare scolpite di agrumi e genziana, prima di estendersi in un finale di notevole lunghezza.","bella bevuta di DP, buono subito, complesso ma equilibrato e delicato",,,
100,87,23/09/2023,Casa,4/5,"bellissimo rosa carico aranciato, bolla fine ed elegante","agrume, pompelmo, frutta rossa matura, balsamicità, nel complesso un vino complesso e profondo, da meditazione","fresco e sapido, ben presente agrume (pompelmo), sapido, di ottima struttura e persistenza media, lavora bene in bocca generando una bella esperienza sensoriale con un piacevole accenno di tannino e calore alcolico.","bellissima bevuta, in evoluzione, con apice raggiunto e, probabilmente, ad inizio caduta, ma ancora di grande profondità",,,
101,88,09/03/2023,Top Champagne (Bon Wei),"3,5-4/5",rosa porureo vivo,"frutta rossa, ananas, frutta bianca, miele, zenzero, crosta di pane.","bolla elegante, fresco, persistente, frutta rossa.","bella bottiglia, ma non è il mio champagne",,,
102,89,15/03/2022,Champagne Society - Rubiera,"4,5-5/5",,,,,,,
103,89,17/12/2023,Champagne Society - Rubiera,"4,5-5/5",rosa cipolla e antico,"complesso di frutta rossa, sanguinella, pasticceria, minerale","fresco e sapido, di grande complessità e bevibilità",tanto ma tanto buono e bevibile,,,
104,89,23/12/2023,casa,"4,5-5/5",rosa cipolla/antico,"complesso, frutta rossa e bianca, agrume, pasticceria e nota di pietra focaia","fresco, sapido, bolla elegante, aromi di frutta fresca e secca, leggera nota di sanguinella","grande bottiglia, complessa, versatile, di grande bevibilità",,,
105,89,01/11/2024,Al Boschetto - Champagne Society,"4,5/5",rosa cipolla leggermente in arancio,"frutta e agrume rosso, quando scalda nel bicchiere esce il popone, pasticceria","fresco e sapido, grande struttura e persistenza",grande rose,,,
106,90,05/11/2023,Casa,"4,5-5/5","rosa cipolla carico, bolla fine ed elegante","apre sull’agrume (olio d’arancia sanguinella) e spezia (zafferano), poi frutti rossi (lampone e ciliegia) e pasticceria (pan di zenzero) e liquirizia","fresco e sapido regala una grande bevibilità con una bolla nobile che carezza il palato, persistente, risulta carnoso e profondo.","una grande vino, non mi fa saltare dalla sedia ma grande struttura, eleganza e profondità. Da bere anche con poco esperti",,,
107,90,10/11/2023,Chiostro del Bramante - Roma - Moet & Chandon,"4,5-5/5",,,,,,,
108,90,11/02/2024,Casa,"4,5-5/5",rosa ambrato con riflessi dorati,"meravigliosa complessità aromatica apre sulla frutta rossa e sull’agrume, poi esplosione floreale e in sinfonia con miele, burro e pasticceria. Note minerali","fresco e sapido in grande equilibrio, bella struttura con bolla elegante, persistente e aromi in retronasale che richiamano quanto percepito all’olfatto, note di frutta secca. Grande bevibilità","grande champagne gastronomico ma che può accompagnare qualunque momento, anche meditativo",,,
109,90,27/07/2024,Casa,"4,5-5/5",rosa cerasuolo,"bello! Coinvolgente! Complesso! Fruttato, agrumato (rossi), floreale, minerale, pasticcerie delicate ma variegate.","intrigante! Profondo! Sexi! Fresco e sapido, grande struttura e persistenza, note gustative e aromatiche di agrume rosso, frutta, fiori, mineralita, bolla elegante ma importante. Grande bevibilità","ottimo come rose, come DP, come champagne.",,,
110,91,15/03/2023,Ceresio 7 - Champagne Society,"4,5/5",,"tostatura e mentolato, zenzero, pasticceria e burro","elegante e complessamente equilibrato, fresco e teso",,,,
111,92,12/10/2022,bu:r Champagne Society,4/5,,,,,,,
112,92,15/03/2023,Ceresio 7 - Champagne Society,4/5,,"tostatura Dom, frutta matura, mela cotta, nota balsamica","fresco e complesso,",,,,
113,93,24/11/2022,Spazio Meravigli - Moet Hennessy Italy,4/5,,,,,,,
114,93,15/03/2023,Ceresio 7 - Champagne Society,4/5,,"tostatura, pera, mela cotta,","sapido, bolla ottima, mandorla amara, pasticceria",,,,
115,94,15/03/2023,Ceresio 7 - Champagne Society,"4,5-5/5",,"tostatura elegante, zenzero, crosta di pane, mentolato,","fresco e persistente, conferma olfatto, leggera mandorla,",,,,
116,95,16/04/2022,Casa,"2,5-3/5",,,,,,,
117,95,30/04/2022,Casa,"2,5-3/5",,,,,,,
118,95,08/05/2022,Casa,"2,5-3/5",,,,,,,
119,95,08/05/2022,Casa,"2,5-3/5",,,,,,,
