ID Vino,Tipologia Vino,Tipologia Produttore,Produttore,Tipologia Agricoltura,Tipologia Vinificazione,Terroir,Disciplinare,Etichetta,Vigna_Clos_Lieu-Dit_Climat,Uvaggio,Millesimo,Dimensione Bottiglia,Dosaggio,Data Imbottigliamento,Mesi sui Lieviti,Data Sboccatura,Distributore
29,Metodo Classico,RM,Marco Buvoli,,Artigianale,Vicenza,Vino Spumante di Qualità,Dodici,,100% PN,NV (base 08),"0,75",3 g/l,,144,10/2021,
30,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),Arcano 180 Lune,,50% PN - 50% Chard,NV (base 07),"0,75",pas dosè,,180,3/2022,
31,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),Cru 151 Campiani Est,,100% PN,NV,"0,75",pas dosè,,50,,
32,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),Cru 479 Campiani Ovest,,100% PN,NV,"0,75",pas dosè,,50,03/2024,
33,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),Molener,,70% Chard - 30% PN,NV,"0,75",3 g/l,,90,09/2022,
34,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),8.18 36 lune,,100% Chard,NV (perp 08/18),"0,75",pas dosè,,36,09/2021,
35,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),Blanc de Noirs R.D.,,100% PN,NV,"0,75",pas dosè,,98,01/2023,
36,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),Blanc de Blancs R.D.,,100% Chard,NV,"0,75",pas dosè,,78,01/22,
37,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),Blanc de Blancs R.D.,,100% Chard,NV,"0,75",pas dosè,,78,01/2023,
38,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),Blanc de Blancs Nature 50 Lune,,100% Chard,NV (base 17),"0,75",pas dosè,,50,09/2021,
39,Metodo Classico,RM,Nicola Gatta,,Artigianale,Cussago,Franciacorta (out),Blanc de Blancs Nature 50 Lune,,100% Chard,NV (base 17),"0,75",pas dosè,,50,3/2022,
40,Metodo Classico,,Paltrinieri,,,,Lambrusco di Sorbara,Grosso,,100% Lambrusco di Sorbara,NV,"0,75",pas dosè,,,,
41,Metodo Classico,,Pisoni,,,,Trento doc,Brut,,100% Chard,NV,"0,75",,,,,
42,Metodo Classico,,Pisoni,,,,Trento doc,Brut Millesimato,,100% Chard,2017,Mag,6 g/l,2018,40,10/2021,
43,Metodo Classico,,Podere Rocca dei Manzoni ,,,,Vino Spumante di Qualità Metodo Classico,Valentino Brut 0,,100% Chard,2010,"0,75",pas dose,,120,2020,
44,Metodo Classico,RM,Podere il Saliceto,,,,Lambrusco Sorbara - Rifermentato in bottiglia,Falistra,,100% Sorbara,NV,"0,75",,,,,
45,Metodo Classico,,Roberto Gatti,,,,Franciacorta,Ferghettina,,100% Chard,NV,"0,75",,,,9/2021,
46,Metodo Classico,,San Cristoforo,,,,Franciacorta,Franciacorta Brut,,100% Chard,NV,Mag,,04/2021,30,10/2023,
47,Metodo Classico,NM,Venturini Baldini,,,,Emilia IGT Bianco Spumante,Roncolo 1888,,50% PN - 30% Chard - 20% Meu,NV,"0,75",6 g/l,,30,11/2022,
48,Metodo Classico,NM,Venturini Baldini,,,,Emilia IGT Rosato Spumante,Roncolo 1889 Rosè,,100% PN,NV,"0,75",3 g/l,,30,06/2023,
49,Charmat Lungo,NM,Venturini Baldini,,,,Reggiano Lambrusco - Spumante Rosato,Cadelvento,,100% Sorbara,NV,"0,75",8 g/l,,,,
50,Charmat,NM,Venturini Baldini,,,,Reggiano Lambrusco - Spumante Rosso,Rubino del Cerro,,Montericchio - Salamino - Grasparossa,NV,"0,75",8 g/l,,,,
51,Metodo Champenoise,Cooper,Chavost,,,Coteaux Sud d'Epernay,Champagne,Blanc D'Assemblage,,47% Chard - 47% Meu - 6% PN,NV,Mag,pas dosè,,,,
52,Metodo Champenoise,Cooper,Nicolas Feuillatte,,Tradizionale,,Champagne,Terroir Premier Cru,,PN - Chard - Meu,NV,"0,75",,,36,,
53,Metodo Champenoise,Cooper,Palmer,,Tradizionale,,Champagne,Grands Terroirs,,,2012,Mag,,,,,
54,Metodo Champenoise,Maison,Ayala,,,,Champagne,Zero Dosage,,"48% PN - 33,5% Chard - 18,5% Meu",NV,"0,75",pas dose,,,10/2008,
55,Metodo Champenoise,Maison,Armand De Brignac,,,,Champagne,Gold,,40% PN - 40% Chard - 20% Meu,NV,"0,75","9,5 g/l",,,,
56,Metodo Champenoise,Maison,Barons de Rothschild,,,,Champagne,Rare Collection Blanc de Blancs,,100% Chard,2013,"0,75",5 g/l,,96,2022,
57,Metodo Champenoise,Maison,Barons de Rothschild,,,,Champagne,Triptyque,,50% PN - 50% Chard,2018,"0,75",5 g/l,,,2024,
58,Metodo Champenoise,Maison,Billecart-Salmon,,,,Champagne,Rosè Brut,,30% PN - 45% Chard - 25% Meu,NV,"0,75",9 g/l,,32,2021,
59,Metodo Champenoise,Maison,Bruno Paillard,,,,Champagne,N.P.U.,,50% PN - 50% Chard,2008,"0,75",3 g/l,,120,04/2019,
60,Metodo Champenoise,Maison,Bruno Paillard,,,,Champagne,Blanc de Blancs Grand Cru,,100% Chard,NV (base 17),"0,75",5 g/l,,48,03/2022,
61,Metodo Champenoise,Maison,Bollinger,,,,Champagne,La Grande Annè,,71% PN - 29% Chard,2008,"0,75",7 g/l,,108,06/2018,
62,Metodo Champenoise,Maison,Bollinger,,,,Champagne,La Grande Annè,,65% PN - 35% Chard,2012,"0,75",8 g/l,,72,01/2020,
63,Metodo Champenoise,Maison,Bollinger,,,,Champagne,PN VZ16,,100% PN,NV (base 16),"0,75",5 g/l,,48,01/2021,
64,Metodo Champenoise,Maison,Bollinger,,,,Champagne,R.D.,,60% PN - 40% Chard,2002,"0,75",3 g/i,,156,04/2016,
65,Metodo Champenoise,Maison,Charles Heidsieck,,,,Champagne,Brut Reserve,,40% PN - 40% Chard - 20% Meu,NV,"0,75",,,,,
66,Metodo Champenoise,Maison,Charles Heidsieck,,,,Champagne,Blanc de Millenaires,,100% Chard,2007,"0,75",9 g/l,,168,2022,
67,Metodo Champenoise,Maison,Diebolt-Vallois,,,,Champagne,Prestige Blanc de Blancs,,100% Chard,NV (base 17),"0,75",4g/l,2018,36,2021,
68,Metodo Champenoise,Maison,Diebolt-Vallois,,,,Champagne,Blanc de Blancs,,100% Chard,NV ,"0,75",6 g/l,,36,,
69,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,1990,"0,75",,,,,Moet & Chandom
70,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,1992,"0,75",,,,,Moet & Chandom
71,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,1993,"0,75",,,,,Moet & Chandom
72,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,1995,"0,75",,,,,Moet & Chandom
73,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,1996,"0,75",,,,,Moet & Chandom
74,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,1998,"0,75",,,,,Moet & Chandom
75,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,1999,"0,75",,,,,Moet & Chandom
76,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,2000,"0,75",,,,,Moet & Chandom
77,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,2002,"0,75",,,,,Moet & Chandom
78,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,2003,Mag,,,,,Moet & Chandom
79,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,47% Chard - 53% PN,2004,"0,75","6,5 g/l",,84,,Moet & Chandom
80,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,2006,"0,75",,,84,,Moet & Chandom
81,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,2008,"0,75",5 g/l,,96,2017,Moet & Chandom
82,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,2009,"0,75",,,,,Moet & Chandom
83,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,50% Chard - 50% PN,2010,"0,75",,,,,Moet & Chandom
84,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,49% Chard - 51% PN,2012,"0,75",5 g/l,,72,10/2020,Moet & Chandom
85,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,49% Chard - 51% PN,2013,"0,75",,,,,Moet & Chandom
86,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage,,55% Chard - 45% PN,2015,"0,75",,,,,Moet & Chandom
87,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage Rosè,,55% PN - 45% Chard,2000,"0,75",,,84,2008,Moet & Chandom
88,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage Rosè,,65% PN - 35% Chard,2006,"0,75",5 g/l,,120,2017,Moet & Chandom
89,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage Rosè,,59% PN - 41% Chard,2008,"0,75",5 g/l,,119,06/2019,Moet & Chandom
90,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,Vintage Rosè,,57% PN - 43% Chard,2009,"0,75",,,144,2022,Moet & Chandom
91,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,P2,,,2000,"0,75",,,,,Moet & Chandom
92,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,P2,,48% PN - 52% Chard,2002,"0,75",5 g/l,,180,2018,Moet & Chandom
93,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,P2,,Chard - PN,2004,"0,75",,,180,,Moet & Chandom
94,Metodo Champenoise,Maison,Dom Perignon,,Tradizionale,,Champagne,P3,,,2003,"0,75",,,,,Moet & Chandom
95,Metodo Champenoise,Maison,Drappier,,,,Champagne,Blanc de Blancs,,100% Chardonnay,2015,"0,75",7 g/l,,60,,
96,Metodo Champenoise,Maison,Drappier,,,,Champagne,Grande Sandrèe,,55% PN - 45% Chard,2008,"0,75",,,,,
97,Metodo Champenoise,Maison,Drappier,,,,Champagne,Brut Nature,,100% PN,,"0,75",pas dosè,,36,?,
98,Metodo Champenoise,Maison,Drappier,,,,Champagne,Charles De Gaulle,,80% PN - 20% Chard,,"0,75",5 g/l,,60,11/2020?,
99,Metodo Champenoise,Maison,Gaston Burtin,,,,Champagne,extra Brut,,40% PN - 40% Meu - 20% Chard,NV (base 19),"0,75",5 g/l,,36,,Winetip
100,Metodo Champenoise,Maison,Gaston Burtin,,,,Champagne,Blanc de Blancs,,100% Chard,2017,"0,75",8 g/l,,36,09/2021,Winetip
101,Metodo Champenoise,Maison,Gaston Burtin,,,,Champagne,Blanc de Blancs,,100% Chard,2018,"0,75",8 g/l,,48,,Winetip
102,Metodo Champenoise,Maison,Gaston Burtin,,,,Champagne,Vintage,,48% PN -  39% Chard - 18% Meu,2014,"0,75",8 g/l,,84,,Winetip
103,Metodo Champenoise,Maison,Gaston Burtin,,,,Champagne,Rosè,,64% Meu - 18% PN - 18% Chard,NV (base 19),"0,75",8 g/l,,36,,Winetip
104,Metodo Champenoise,Maison,Georges Vesselle,,,,Champagne,Brut Non Millessimè Grand Cru,,90% PN - 10% Chard,NV (base 17),"0,75",,,,,
105,Metodo Champenoise,Maison,Henri Giraud,,,,Champagne,Esprit Nature,,80% PN - 20% Chard,NV (base 18),"0,75",,,,2022,
106,Metodo Champenoise,Maison,Henri Giraud,,,,Champagne,MV18,,80% PN - 20% Chard,NV (base 18),"0,75",,,,2022,
107,Metodo Champenoise,Maison,Henri Giraud,,,,Champagne,Hommage au Pinot Noir,,100% PN,,"0,75",,,36,,
108,Metodo Champenoise,Maison,Henri Giraud,,,,Champagne,Blanc de Craie,,100% Chard,,"0,75",,,,,
109,Metodo Champenoise,Maison,Henri Giraud,,,,Champagne,Dame-Jane,,70% PN - 30% Chard,,"0,75",,,,,
110,Metodo Champenoise,Maison,Henriot,,,,Champagne,Brut Souverain,,45% PN - 40% Chard - 15% Meu,NV (base 2018),"0,75",6 g/l,,,,
111,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuvèe n. 729,,34% PN - 34% Chard - 32% Meu,NV (base 01),Mag,6 g/l,,36,03/2005,Pellegrini
112,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuvèe n. 733 DT,,24% PN - 52% Chard - 24% Meu,NV (base 05),"0,75","2,5 g/l",,90,10/2013,Pellegrini
113,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuveè n. 734 DT,,54% Chard - 26% Meu - 20% PN,NV (base 06),"0,75","3,5 g/l",,86,10/2014,Pellegrini
114,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuvèe n. 735,,33% PN -  47% Chard - 20% Meu,NV (base 07),"0,75","3,5 g/l",,40,01/2012,Pellegrini
115,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuvèe n. 736 DT,,29% PN - 53% Chard - 18% Meu,NV (base 08),"0,75","1,5 g/l",,90,11/2016,Pellegrini
116,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuvee n. 737,,43% Chard - 30% Meu - 27% PN,Nv (base 09),Mag,"3,5 g/l",,36,05/2013,Pellegrini
117,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Covèe n. 738,,21% PN - 61% Chard - 18% Meu,NV (base 10),"0,75","2,5 g/l",,48,05/2015,Pellegrini
118,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Couvèe n. 738 DT,,21% PN - 61% Chard - 18% Meu,NV (base 10),"0,75","0,75 g/l",,96,06/2019,Pellegrini
119,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuvee n. 740 DT,,29% PN - 53% Chard - 18% Meu,NV (base 12),"0,75",0 g/l,,94,04/2021,Pellegrini
120,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuvee n. 740,,61% Chard - 18% PN - 21% Meu,NV (base 12),"0,75","1,5 g/l",,36,04/2017,Pellegrini
121,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuveè n. 741,,24% PN - 53% Chard - 23% Meu,NV (base 13),"0,75","2,5 g/l",,40,06/2018,Pellegrini
122,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuveè n. 741 DT,,24% PN - 53% Chard - 23% Meu,NV (base 13),"0,75",pas dosè,,96,04/2022,Pellegrini
123,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuveè n. 743,,35% PN - 50% Chard - 15% Meu,NV (base 15),"0,75",pas dosè,,40,09/2019,Pellegrini
124,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuveè n. 743,,35% PN - 50% Chard - 15% Meu,NV (base 15),"0,75",pas dosè,,53,10/2020,Pellegrini
125,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuveè n. 744,,45% Chard - 35% PN - 20% Meu,NV (base 16),"0,75","0,75 g/l",,48,03/2021,Pellegrini
126,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuvèe n. 745,,40% PN - 50% Chard - 10% Meu,NV (base 17),"0,75","0,75 g/l",,40,01/2022,Pellegrini
127,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Cuvèe n. 746,,27% PN - 43% Chard - 30% Meu,NV (base 18),"0,75",2 g/l,,48,10/2022,Pellegrini
128,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Dizy - Terres Rouges Rosè,,100% PN,2009,"0,75",pas dosè,,70,01/2016,Pellegrini
129,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Avize - Champ Cain DT,,100% Chard,2004,"0,75",pas dosè,,192,03/2021,Pellegrini
130,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Avize - Champ Cain,,100% Chard,2013,"0,75",pas dosè,,96,05/2022,Pellegrini
131,Metodo Champenoise,Maison,Jacqueson,,,,Champagne,Avize Grand Cru,,100% Chard,1996,"0,75","3,5 g/l",,105,03/2006,Pellegrini
132,Metodo Champenoise,Maison,Laurent-Perrier,,,,Champagne,La Cuvee Brut,,35% PN - 55% Chard - 10% Meu,NV,"0,75",9 g/l,,48,2021,
133,Metodo Champenoise,Maison,Laurent-Perrier,,,,Champagne,La Cuvee Brut,,35% PN - 55% Chard - 10% Meu,NV,"0,75",10 g/l,,48,2022,
134,Metodo Champenoise,Maison,Laurent-Perrier,,,,Champagne,Cuvee Rosè,,100% PN,NV,"0,75",9 g/l,,60,,
135,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Cristal,,58% PN - 42% Chard,2007,"0,75",9 g/l,,120,05/2020,Sagna
136,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Cristal,,60% PN - 40% Chard,2008,"0,75",8 g/l,,96,,Sagna
137,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Cristal,,60% PN - 40% Chard,2009,"0,75",8 g/l,,84,2016,Sagna
138,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Cristal,,60% PN - 40% Chard,2013,"0,75",8 g/l,,84,2021,Sagna
139,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Cristal,,60% PN - 40% Chard,2014,"0,75",7 g/l,,72,03/2022,Sagna
140,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Collection 242,,36% PN -  42% Chard - 22% Meu,NV (base 17),"0,75",8 g/l,,36,,Sagna
141,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Collection 242,,36% PN -  42% Chard - 22% Meu,NV (base 17),Mag,8 g/l,,48,07/2022,Sagna
142,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Collection 243,,42% Chard - 40% PN - 18% Meu,NV (base 18),"0,75",8 g/l,,36,03/2022,Sagna
143,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Collection 243,,41% Chard - 33% PN - 26% Meu,NV (base 19),"0,75",8 g/l,,36,01/2023,Sagna
144,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Collection 244,,41% Chard - 33% PN - 26% Meu,nv (base 19),"0,75",8 g/l,,36,03/2023,Sagna
145,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Vintage Brut,,61% PN - 39% Chard,2008,"0,75",9 g/l,,68,02/2015,Sagna
146,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Vintage Brut,,71% PN - 29% Chard,2014,"0,75",8 g/l,,76,10/2021,Sagna
147,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Vintage Rosè,,62% PN - 38% Chard,2009,"0,75",9 g/l,,48,2014,Sagna
148,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Philip Starck Rosè,,50% PN - 37% Chard - 13% Meu,2015,"0,75",pas dosè,,70,2021,Sagna
149,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Philip Starck Rosè,,50% PN - 37% Chard - 13% Meu,2015,"0,75",pas dosè,,72,04/2022,Sagna
150,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Philip Starck Blanc,,66% PN + Meu - 33% Chard,2009,"0,75",pas dosè,,70,2016,Sagna
151,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Philip Starck Blanc,,46% Chard - 37% PN - 17% Meu,2015,"0,75",pas dosè,,70,04/2022,Sagna
152,Metodo Champenoise,Maison,Louis Roederer,,,,Champagne,Philip Starck Blanc,,46% Chard - 37% PN - 17% Meu,2015,Mag,pas dosè,,70,04/2022,Sagna
153,Metodo Champenoise,Maison,Mandois Victor,,,,Champagne,Vieilles Vignes,,100% Chard,2012,"0,75",,,120,01/2023,Cuziol Grandi Vini
154,Metodo Champenoise,Maison,M. Hostomme,,,,Champagne,3309 Meunier - Rosè de Saignee,,100% Meu,NV,"0,75",Pas dosè,,,07/2023,
155,Metodo Champenoise,Maison,Moet & Chandon,,,,Champagne,Imperial,,,,Mag,,,,,Moet Italia
156,Metodo Champenoise,Maison,Moet & Chandon,,,,Champagne,Grand Vintage,,,2016,"0,75",,2017,72,03/2023,Moet Italia
157,Metodo Champenoise,Maison,Moet & Chandon,,,,Champagne,Collection Imperiale No.1,,PN - Chard - Meu,NV (base 13),"0,75",pas dosè,2014,96,08/2022,Moet Italia
158,Metodo Champenoise,Maison,Mumm,,,,Champagne,Cuvee R. Lalou,,50% Chard - 50% PN,2002,"0,75",6 g/l,,120,2014,
159,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvee 161,,44% PN - 37% Chard - 19% Meu,NV (base 05),"0,75",,,156,10/2019,Moet Italia
160,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvee 161,,44% PN - 37% Chard - 19% Meu,NV (base 05),Mag,,,84,7/2013,Moet Italia
161,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvee 164,,48% PN - 35% Chard - 17% Meu,NV (base 08),"0,75",,,96,8/2017,Moet Italia
162,Metodo Champenoise,Maison,Krug,,,,Champagne,"Grande Cuvee 165 (Rara, solo per mercato Giapponese)",,47% PN - 38% Chard - 15% Meu,NV (base 09),"0,75",8 g/l,,72,11/2016,Moet Italia
163,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvee 167,,47% PN - 36% Chard - 17% Meu,NV (base 11),"0,75",,,72,11/2017,Moet Italia
164,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvee 168,,52% PN - 35% Chard - 13% Meu,NV (base 12),"0,75",,,72,07/2019,Moet Italia
165,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvee 169,,52% PN - 35% Chard - 13% Meu,NV (base 12),Mag,,,96,10/2021,Moet Italia
166,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvee 169,,52% PN - 35% Chard - 13% Meu,NV (base 12),Mag,,,108,12/2022,Moet Italia
167,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvee 169,,43% PN - 35% Chard - 22% Meu,NV (base 13),"0,75",,,84,03/2020,Moet Italia
168,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvee 169,,43% PN - 35% Chard - 22% Meu,NV (base 13),"0,75",,,84,01/2021,Moet Italia
